Title,PMID,ISSN
The European journal of health economics : HEPAC : health economics in prevention and care,34236544,1618-7601
International journal of paleopathology,34237609,1879-9825
Spanish journal of psychiatry and mental health,34246817,2950-2853
European heart journal supplements : journal of the European Society of Cardiology,34248427,1520-765X
Frontiers in behavioral neuroscience,34248517,1662-5153
Environmental sciences Europe,34249592,2190-4707
Oncogenesis,34272358,2157-9024
International journal of health sciences,34285685,1658-3639
Cardiovascular journal of Africa,34292294,1680-0745
American journal of men's health,34330182,1557-9891
"Alzheimer's & dementia (New York, N. Y.)",34337138,2352-8737
"Indian journal of critical care medicine : peer-reviewed, official publication of Indian Society of Critical Care Medicine",34345133,0972-5229
"Psychiatric services (Washington, D.C.)",34347504,1557-9700
Turkish journal of medical sciences,34365782,1303-6165
Annals of work exposures and health,34378018,2398-7316
JAAD international,34409328,2666-3287
"Inquiry : a journal of medical care organization, provision and financing",34420412,1945-7243
Iranian journal of nursing and midwifery research,34422615,1735-9066
International journal of audiology,34428121,1708-8186
The journal of trauma and acute care surgery,34446657,2163-0763
Archives of disease in childhood,34462264,1468-2044
Journal of clinical pharmacy and therapeutics,34462932,1365-2710
The American journal of drug and alcohol abuse,34464542,1097-9891
Advanced drug delivery reviews,34481031,1872-8294
Clinical genitourinary cancer,33610279,1938-0682
Australian and New Zealand journal of public health,33617116,1753-6405
Japanese journal of clinical oncology,33621341,1465-3621
Depression research and treatment,33628500,2090-1321
Ophthalmic & physiological optics : the journal of the British College of Ophthalmic Opticians (Optometrists),33650712,1475-1313
Academic medicine : journal of the Association of American Medical Colleges,33656011,1938-808X
Computer methods and programs in biomedicine,33657466,1872-7565
Journal of professional nursing : official journal of the American Association of Colleges of Nursing,33674095,1532-8481
"Infection, genetics and evolution : journal of molecular epidemiology and evolutionary genetics in infectious diseases",33684570,1567-7257
Epidemiologic reviews,33710259,1478-6729
Global pediatric health,33718527,2333-794X
Annals of nutrition & metabolism,33774630,1421-9697
Frontiers in molecular neuroscience,33776647,1662-5099
Resuscitation,33781872,1873-1570
"Journal of microbiology, immunology, and infection = Wei mian yu gan ran za zhi",33789827,1995-9133
Journal of pharmaceutical policy and practice,33795015,2052-3211
Canadian journal of psychiatry. Revue canadienne de psychiatrie,33827278,1497-0015
Journal of human nutrition and dietetics : the official journal of the British Dietetic Association,33834556,1365-277X
Indian heart journal,33865530,2213-3763
Frontiers in sociology,33869481,2297-7775
Trends in microbiology,33896688,1878-4380
La Tunisie medicale,33899181,2724-7031
Arquivos de gastroenterologia,33909787,1678-4219
British journal of sports medicine,33926966,1473-0480
Deutsches Arzteblatt international,33958032,1866-0452
The journal of pathology. Clinical research,33960723,2056-4538
Advances in experimental medicine and biology,33973183,0065-2598
European journal of pharmaceutics and biopharmaceutics : official journal of Arbeitsgemeinschaft fur Pharmazeutische Verfahrenstechnik e.V,33974973,1873-3441
Food & function,33977977,2042-650X
Molecular diagnosis & therapy,33978935,1179-2000
Neurology India,34003143,1998-4022
Advances in parasitology,34024358,2163-6079
Immunopharmacology and immunotoxicology,34032546,1532-2513
Carcinogenesis,34037709,1460-2180
Health psychology and behavioral medicine,34040886,2164-2850
International journal of hygiene and environmental health,34044248,1618-131X
Nature human behaviour,34045720,2397-3374
ANZ journal of surgery,34075677,1445-2197
American journal of clinical dermatology,33175359,1179-1888
Acta medica academica,33189124,1840-2879
CNS & neurological disorders drug targets,33213357,1996-3181
Prosthetics and orthotics international,33274665,1746-1553
Experimental hematology & oncology,33292593,2162-3619
Arquivos de neuro-psiquiatria,33295419,1678-4227
BMC medical research methodology,33297980,1471-2288
European journal of radiology open,33304941,2352-0477
Kidney international reports,33305122,2468-0249
Techniques in vascular and interventional radiology,33308584,1557-9808
Journal of the Formosan Medical Association = Taiwan yi zhi,33309080,0929-6646
Transfusion and apheresis science : official journal of the World Apheresis Association : official journal of the European Society for Haemapheresis,33309539,1473-0502
Journal of rehabilitation medicine,33337501,1651-2081
Injury epidemiology,33342441,2197-1714
Food and nutrition bulletin,33356593,1564-8265
Neurological research,33377423,1743-1328
Public health ethics,33391391,1754-9973
Respiration; international review of thoracic diseases,33401266,1423-0356
PharmacoEconomics - open,33411314,2509-4254
Implementation science : IS,33413487,1748-5908
Acta orthopaedica Belgica,33418624,0001-6462
Monographs in oral science,33427220,1662-3843
Clinical microbiology and infection : the official publication of the European Society of Clinical Microbiology and Infectious Diseases,33450389,1469-0691
Surgical and radiologic anatomy : SRA,33452905,1279-8517
Journal of infection and chemotherapy : official journal of the Japan Society of Chemotherapy,33472748,1437-7780
Proceedings of the National Academy of Sciences of the United States of America,33495332,1091-6490
Journal of thrombosis and thrombolysis,33501596,1573-742X
Clinical and translational science,33503305,1752-8062
European urology focus,33509670,2405-4569
"Public health in practice (Oxford, England)",33521739,2666-5352
Redox biology,33541847,2213-2317
BMJ military health,33547194,2633-3775
Physical therapy,33556184,1538-6724
"Quality of life research : an international journal of quality of life aspects of treatment, care and rehabilitation",33590463,1573-2649
Genetic testing and molecular biomarkers,33596144,1945-0257
Prostate cancer and prostatic diseases,33603236,1476-5608
Revista medica de Chile,32730370,0717-6163
The Annals of thoracic surgery,32771467,1552-6259
"Medical journal, Armed Forces India",32773927,0377-1237
Zhurnal nevrologii i psikhiatrii imeni S.S. Korsakova,32790986,1997-7298
Cancer management and research,32801868,1179-1322
European journal of vascular and endovascular surgery : the official journal of the European Society for Vascular Surgery,32807672,1532-2165
"Substance abuse treatment, prevention, and policy",32811525,1747-597X
Cardiology in the young,32815495,1467-1107
Acta ophthalmologica,32833305,1755-3768
Otolaryngology--head and neck surgery : official journal of American Academy of Otolaryngology-Head and Neck Surgery,32838652,1097-6817
Occupational and environmental medicine,32839184,1470-7926
Biology of blood and marrow transplantation : journal of the American Society for Blood and Marrow Transplantation,32846200,1523-6536
Critical reviews in therapeutic drug carrier systems,32865904,2162-660X
Orvosi hetilap,32894736,1788-6120
Harvard review of psychiatry,32925514,1465-7309
Journal of mathematical biology,32945924,1432-1416
Brain communications,32954341,2632-1297
Journal of developmental origins of health and disease,32988428,2040-1752
Chemico-biological interactions,33010221,1872-7786
Immunology and allergy clinics of North America,33012321,1557-8607
"Epidemiology (Cambridge, Mass.)",33031218,1531-5487
British dental journal,33037374,1476-5373
Journal of community genetics,33063164,1868-310X
The Journal of hospital infection,33065193,1532-2939
"Evolution, medicine, and public health",33072324,2050-6201
Liver cancer,33083281,2235-1795
Cancer cell,33091381,1878-3686
MSMR,33112155,2152-8217
ARYA atherosclerosis,33133205,1735-3955
Health psychology review,33140699,1743-7202
Journal of public health dentistry,33146408,1752-7325
Current opinion in microbiology,33147565,1879-0364
Nutrition research reviews,33148371,1475-2700
Science translational medicine,33148624,1946-6242
Journal of the Royal Society of New Zealand,39439818,1175-8899
World journal of diabetes,32313607,1948-9358
Advances in therapy,32319039,1865-8652
German medical science : GMS e-journal,32341687,1612-3174
"Diagnostic and interventional radiology (Ankara, Turkey)",32352915,1305-3612
Nature microbiology,32367053,2058-5276
"Scandinavian journal of work, environment & health",32367143,1795-990X
Journal of the Egyptian National Cancer Institute,32372179,2589-0409
Chinese clinical oncology,32389003,2304-3873
Journal of diabetes and its complications,32402842,1873-460X
CA: a cancer journal for clinicians,32420634,1542-4863
Journal of aerosol medicine and pulmonary drug delivery,32423274,1941-2703
Infection and drug resistance,32440164,1178-6973
Medicina,32442939,1669-9106
Current drug delivery,32459607,1875-5704
British medical bulletin,32491163,1471-8391
"Cancer journal (Sudbury, Mass.)",32496458,1540-336X
Circulation research,32496918,1524-4571
"Contemporary oncology (Poznan, Poland)",32514233,1428-2526
JAMA dermatology,32520352,2168-6084
Journal of studies on alcohol and drugs,32527387,1938-4114
The Journal of international medical research,32529862,1473-2300
Journal of gastrointestinal and liver diseases : JGLD,32530977,1842-1121
Pediatric rheumatology online journal,32532304,1546-0096
Pakistan journal of medical sciences,32582322,1682-024X
"Pediatric nephrology (Berlin, Germany)",32588223,1432-198X
Risk analysis : an official publication of the Society for Risk Analysis,32602166,1539-6924
Human resources for health,32611357,1478-4491
The British journal of oral & maxillofacial surgery,32631753,1532-1940
Therapeutic advances in vaccines and immunotherapy,32647779,2515-1355
Biochemical pharmacology,32653589,1873-2968
Medical teacher,32657230,1466-187X
Current opinion in rheumatology,32657804,1531-6963
Journal of immunology research,32671115,2314-7156
Adicciones,32677701,0214-4840
Gene expression,32690129,1555-3884
The American journal of tropical medicine and hygiene,32700663,1476-1645
Journal of surgical education,32713743,1878-7452
Journal of the College of Physicians and Surgeons--Pakistan : JCPSP,32723454,1681-7168
Qatar medical journal,31903321,0253-8253
The American surgeon,31908218,1555-9823
Current genomics,31929725,1389-2029
Health SA = SA Gesondheid,31934406,1025-9848
Particle and fibre toxicology,31959190,1743-8977
Asian journal of urology,31970073,2214-3882
Biochimica et biophysica acta. Molecular basis of disease,32001300,1879-260X
Clinical liver disease,32015873,2046-2484
Journal of thrombosis and haemostasis : JTH,32020753,1538-7836
"American journal of medical genetics. Part C, Seminars in medical genetics",32026623,1552-4876
Instructional course lectures,32032038,0065-6895
MedEdPORTAL : the journal of teaching and learning resources,32051854,2374-8265
Revista Colombiana de psiquiatria (English ed.),32081205,2530-3120
Food & nutrition research,32082100,1654-661X
"Journal of toxicology and environmental health. Part B, Critical reviews",32106786,1521-6950
Free radical biology & medicine,32131026,1873-4596
The Orthopedic clinics of North America,32138858,1558-1373
Diabetes care,32139380,1935-5548
Nature reviews. Nephrology,32144399,1759-507X
"Anaesthesia, critical care & pain medicine",32145433,2352-5568
International journal of chronic diseases,32149073,2356-6981
Brazilian journal of medical and biological research = Revista brasileira de pesquisas medicas e biologicas,32159613,1414-431X
American journal of nephrology,32160623,1421-9670
Iranian journal of kidney diseases,32165591,1735-8604
"Journal of anaesthesiology, clinical pharmacology",32174669,0970-9185
ClinicoEconomics and outcomes research : CEOR,32184636,1178-6981
Psychology research and behavior management,32184684,1179-1578
Journal of dermatological science,32192826,1873-569X
Frontiers in cell and developmental biology,32195248,2296-634X
Current environmental health reports,32207100,2196-5412
Crisis,32208764,2151-2396
International journal of mental health systems,32226481,1752-4458
Health promotion practice,32242750,1524-8399
Clinical and experimental dental research,32250564,2057-4347
Toxins,32260373,2072-6651
Emerging microbes & infections,32284022,2222-1751
Journal of nutritional science,32284862,2048-6790
Brazilian oral research,32294677,1807-3107
Postgraduate medical journal,31511319,1469-0756
Clinical breast cancer,31521536,1938-0666
American journal of public health,31536404,1541-0048
"Environmental epidemiology (Philadelphia, Pa.)",31538134,2474-7882
Journal of genetics,31544798,0973-7731
Physical medicine and rehabilitation clinics of North America,31563163,1558-1381
Journal of drugs in dermatology : JDD,31584781,1545-9616
"Health promotion and chronic disease prevention in Canada : research, policy and practice",31600041,2368-738X
Molecular biology reports,31612411,1573-4978
Annali di igiene : medicina preventiva e di comunita,31616904,1120-9135
Nurse educator,31634219,1538-9855
Current obesity reports,31654336,2162-4968
Journal of interpersonal violence,31658858,1552-6518
European journal of internal medicine,31679882,1879-0828
Journal of global oncology,31682549,2378-9506
Cold Spring Harbor perspectives in medicine,31712223,2157-1422
Revue neurologique,31718830,0035-3787
Therapeutic advances in psychopharmacology,31741731,2045-1253
Iranian journal of neurology,31749935,2008-384X
American journal of physical anthropology,31762015,1096-8644
American journal of human biology : the official journal of the Human Biology Council,31769124,1520-6300
International journal of emergency medicine,31801458,1865-1372
Preventive veterinary medicine,31838400,1873-1716
Journal of injury & violence research,31849366,2008-4072
Australasian psychiatry : bulletin of Royal Australian and New Zealand College of Psychiatrists,31867984,1440-1665
International journal of injury control and safety promotion,31870197,1745-7319
Ethnicity & disease,30906165,1945-0826
Journal of aging and health,30913945,1552-6887
Transactions of the Royal Society of Tropical Medicine and Hygiene,30927004,1878-3503
The New England journal of medicine,30943347,1533-4406
Journal of clinical nursing,30970155,1365-2702
African journal of emergency medicine : Revue africaine de la medecine d'urgence,30976495,2211-4203
Therapeutic advances in infectious disease,30984394,2049-9361
Annals of human biology,30990100,1464-5033
"Veterinary parasitology, regional studies and reports",31027600,2405-9390
Seminars in nephrology,31054631,1558-4488
"British journal of hospital medicine (London, England : 2005)",31059346,1750-8460
"Methods in molecular biology (Clifton, N.J.)",31069672,1940-6029
Journal of pediatric intensive care,31073502,2146-4618
"Oncology (Williston Park, N.Y.)",31095717,0890-9091
"Work (Reading, Mass.)",31104048,1875-9270
Kidney international,31133455,1523-1755
Annals of oncology : official journal of the European Society for Medical Oncology,31147682,1569-8041
Journal of reproductive immunology,31176084,1872-7603
The Journal of allergy and clinical immunology,31176380,1097-6825
Drug discoveries & therapeutics,31217365,1881-784X
Indian journal of public health,31219058,0019-557X
Current diabetes reports,31222515,1539-0829
Clinical oncology (Royal College of Radiologists (Great Britain)),31229379,1433-2981
Gaceta sanitaria,31255397,1578-1283
Annals of surgery,31274649,1528-1140
Salud publica de Mexico,31276339,1606-7916
Allergologia et immunopathologia,31277726,1578-1267
Scandinavian journal of pain,31287802,1877-8879
Gut microbes,31311405,1949-0984
Memorias do Instituto Oswaldo Cruz,31314860,1678-8060
Journal of cancer metastasis and treatment,31321307,2394-4722
"Tropical diseases, travel medicine and vaccines",31338202,2055-0936
Archivos argentinos de pediatria,31339263,1668-3501
JAMA cardiology,31339507,2380-6591
"Diabetes, metabolic syndrome and obesity : targets and therapy",31360070,1178-7007
Journal of medical ethics,31363011,1473-4257
Psychoneuroendocrinology,31374371,1873-3360
Clinical nephrology,31426912,0301-0430
Expert opinion on pharmacotherapy,30475091,1744-7666
Nefrologia,30503082,2013-2514
Current opinion in infectious diseases,30507673,1473-6527
"Dermatology (Basel, Switzerland)",30544123,1421-9832
BMC family practice,30547766,1471-2296
"Genes, brain, and behavior",30548775,1601-183X
American journal of therapeutics,30557195,1536-3686
Trends in parasitology,30578149,1471-5007
The Journal of investigative dermatology,30578821,1523-1747
Indian journal of dental research : official publication of Indian Society for Dental Research,30589014,1998-3603
"Breast cancer (Tokyo, Japan)",30604398,1880-4233
"Journal of Ayub Medical College, Abbottabad : JAMC",30632339,1819-2718
Hu li za zhi The journal of nursing,30648241,0047-262X
The Ceylon medical journal,30669210,0009-0875
The Journal of urology,30676477,1527-3792
Indian journal of medical ethics,30683637,0975-5691
Journal of public health in Africa,30687484,2038-9922
Current eye research,30703332,1460-2202
Health & place,30710836,1873-2054
Lung cancer management,30713585,1758-1974
Current psychiatry reports,30729322,1535-1645
International journal for parasitology,30738925,1879-0135
La Tunisie medicale,30746670,0041-4131
BMC pharmacology & toxicology,30767779,2050-6511
"Vertex (Buenos Aires, Argentina)",30785972,0327-6139
AMIA ... Annual Symposium proceedings. AMIA Symposium,30815174,1942-597X
CMAJ open,30819694,2291-0026
Journal of orthopaedic surgery (Hong Kong),30827171,2309-4990
Nature reviews. Endocrinology,30837717,1759-5037
"Pharmacy (Basel, Switzerland)",30841590,2226-4787
Brazilian journal of physical therapy,30862431,1809-9246
"Managed care (Langhorne, Pa.)",30883323,1062-3388
Basic & clinical pharmacology & toxicology,30884144,1742-7843
Topics in stroke rehabilitation,30890043,1945-5119
International journal of neonatal screening,33072976,2409-515X
Current hypertension reports,29881931,1534-3111
"Families, systems & health : the journal of collaborative family healthcare",29902037,1939-0602
Family practice,29939239,1460-2229
Vascular and endovascular surgery,29945494,1938-9116
Annals of maxillofacial surgery,29963432,2231-0746
Clinical and experimental emergency medicine,29973033,2383-4625
Canadian Urological Association journal = Journal de l'Association des urologues du Canada,29989889,1911-6470
Obstetric medicine,29997687,1753-495X
South African medical journal = Suid-Afrikaanse tydskrif vir geneeskunde,30004334,0256-9574
Korean journal of family medicine,30008199,2005-6443
Clinical radiology,30031589,1365-229X
Medicina clinica,30037695,1578-8989
Journal of mammary gland biology and neoplasia,30066175,1573-7039
Psychology of addictive behaviors : journal of the Society of Psychologists in Addictive Behaviors,30070538,1939-1501
Progress in molecular biology and translational science,30072060,1878-0814
Current opinion in psychiatry,30113324,1473-6578
"Pharmacology, biochemistry, and behavior",30118733,1873-5177
Iranian journal of public health,30186810,2251-6085
Diabetes & metabolism,30196138,1878-1780
Stroke research and treatment,30228857,2090-8105
Gates open research,30234196,2572-4754
Neurosurgical focus,30269588,1092-0684
"Tidsskrift for den Norske laegeforening : tidsskrift for praktisk medicin, ny raekke",30277038,0807-7096
Current stem cell research & therapy,30280678,2212-3946
Cancer research and treatment,30282445,2005-9256
Transcultural psychiatry,30289374,1461-7471
Disaster medicine and public health preparedness,30295228,1938-744X
Journal of human hypertension,30382178,1476-5527
European addiction research,30384381,1421-9891
Scandinavian journal of primary health care,30394828,1502-7724
CMAJ : Canadian Medical Association journal = journal de l'Association medicale canadienne,30397156,1488-2329
Health policy and planning,30403781,1460-2237
American journal of pharmaceutical education,30425400,1553-6467
Viral immunology,30461360,1557-8976
Perspectives in clinical research,29109934,2229-3485
Biomedical and environmental sciences : BES,29122090,0895-3988
Current dermatology reports,29226027,2162-4933
Clinical practice and epidemiology in mental health : CP & EMH,29238391,1745-0179
Dialogues in clinical neuroscience,29302218,1958-5969
Psychotherapy and psychosomatics,29306954,1423-0348
Pharmacological reports : PR,29309998,2299-5684
JMIR mental health,29317379,2368-7959
Addiction biology,29318700,1369-1600
Cell death & disease,29371637,2041-4889
Scandinavian journal of rheumatology,29376465,1502-7732
Thrombosis research,29407624,1879-2472
Blood advances,29463548,2473-9537
"Neuropsychiatrie : Klinik, Diagnostik, Therapie und Rehabilitation : Organ der Gesellschaft Osterreichischer Nervenarzte und Psychiater",29516360,2194-1327
Acta medica portuguesa,29573768,1646-0758
Current allergy and asthma reports,29574605,1534-6315
AIDS research and treatment,29682344,2090-1240
Microbiology and molecular biology reviews : MMBR,29695497,1098-5557
Complementary therapies in clinical practice,29705474,1873-6947
Journal of AIDS and HIV research (Online),29707404,2141-2359
The Proceedings of the Nutrition Society,29708078,1475-2719
Current osteoporosis reports,29728996,1544-2241
The Lancet. Child & adolescent health,29732397,2352-4642
Otolaryngologic clinics of North America,29773124,1557-8259
Diabetic medicine : a journal of the British Diabetic Association,29791033,1464-5491
Zhonghua fu chan ke za zhi,29804349,0529-567X
Experimental hematology,29807062,1873-2399
"BMC ear, nose, and throat disorders",29849503,1472-6815
Medical hypotheses,29857915,1532-2777
Food and waterborne parasitology,32095638,2405-6766
The East African health research journal,34308180,2520-5285
Journal of the American Society of Nephrology : JASN,28408440,1533-3450
Journal of the American Society of Hypertension : JASH,28454770,1878-7436
Traffic injury prevention,28459283,1538-957X
Epidemiologia e servicos de saude : revista do Sistema Unico de Saude do Brasil,28492774,2237-9622
Scandinavian journal of immunology,28500763,1365-3083
Dermatology online journal,28537860,1087-2108
Current hypertension reviews,28554307,1875-6506
Clinics in plastic surgery,28576236,1558-0504
"Sensors (Basel, Switzerland)",28613237,1424-8220
Current opinion in cardiology,28639971,1531-7080
Culture and brain,28642836,2193-8652
Archives of disease in childhood. Fetal and neonatal edition,28667189,1468-2052
Gene therapy,28692018,1476-5462
Investigative ophthalmology & visual science,28728174,1552-5783
Genus,28751789,0016-6987
Clinical therapeutics,28754189,1879-114X
Ethiopian medical journal,28878427,0014-1755
Surgical neurology international,28904822,2229-5097
Malawi medical journal : the journal of Medical Association of Malawi,28955414,1995-7270
Proteomics. Clinical applications,28967185,1862-8354
Clinical and vaccine immunology : CVI,28971965,1556-679X
Best practice & research. Clinical obstetrics & gynaecology,28988647,1532-1932
Oman medical journal,29026474,1999-768X
Journal of stroke,29037005,2287-6391
Chronic diseases and translational medicine,29063070,2095-882X
Behaviour research and therapy,29074231,1873-622X
Bio-protocol,29075656,2331-8325
International journal of technology assessment in health care,29081308,1471-6348
Asia-Pacific journal of public health,29094630,1941-2479
Ethnicity & health,29096523,1465-3419
Internet interventions,30135834,2214-7829
Nordisk alkohol- & narkotikatidskrift : NAT,32934496,1458-6126
Wiley interdisciplinary reviews. Nanomedicine and nanobiotechnology,27562224,1939-0041
Bipolar disorders,27566286,1399-5618
World journal of plastic surgery,27579265,2228-7914
Issues in mental health nursing,27589367,1096-4673
Pediatric obesity,27684716,2047-6310
"International review of psychiatry (Abingdon, England)",27686159,1369-1627
Therapeutic advances in hematology,27695619,2040-6207
Neuropsychopharmacology : official publication of the American College of Neuropsychopharmacology,27711046,1740-634X
Neurologic clinics,27719989,1557-9875
The Journal of orthopaedic and sports physical therapy,27903161,1938-1344
Cytokine,27918954,1096-0023
Blood pressure,27951726,1651-1999
"Cancer prevention research (Philadelphia, Pa.)",27965288,1940-6215
Pilot and feasibility studies,27965856,2055-5784
European urology,28029399,1873-7560
International braz j urol : official journal of the Brazilian Society of Urology,28128909,1677-6119
Intensive care medicine,28130686,1432-1238
"BMC sports science, medicine & rehabilitation",28149523,2052-1847
International journal of bipolar disorders,28247268,2194-7511
International wound journal,28261962,1742-481X
Clinics in dermatology,28274348,1879-1131
Emergency nurse : the journal of the RCN Accident and Emergency Nursing Association,28279109,1354-5752
Current treatment options in cardiovascular medicine,28285457,1092-8464
Revista portuguesa de cardiologia : orgao oficial da Sociedade Portuguesa de Cardiologia = Portuguese journal of cardiology : an official journal of the Portuguese Society of Cardiology,28318858,2174-2030
Current opinion in immunology,28319732,1879-0372
Current opinion in pediatrics,28346272,1531-698X
Hand clinics,28363304,1558-1969
Bioethics,28374479,1467-8519
Physiological genomics,28389525,1531-2267
International journal of environmental & agriculture research,28393128,2454-1850
Revista medica del Instituto Mexicano del Seguro Social,29697221,2448-5667
"Revista de salud publica (Bogota, Colombia)",30183967,2539-3596
Addiction science & clinical practice,26585638,1940-0640
Revista do Instituto de Medicina Tropical de Sao Paulo,26603227,1678-9946
Middle East journal of digestive diseases,26609348,2008-5230
Allergology international : official journal of the Japanese Society of Allergology,26666493,1440-1592
Journal of clinical and diagnostic research : JCDR,26674374,2249-782X
Cardiology research and practice,26697260,2090-8016
Ayu,26730138,0974-8520
BMC emergency medicine,26748777,1471-227X
Journal of public health research,26753160,2279-9028
Phytochemical analysis : PCA,26778282,1099-1565
Epidemiology and psychiatric sciences,26786507,2045-7960
Journal of the Pediatric Infectious Diseases Society,26803330,2048-7207
Critical reviews in microbiology,26805040,1549-7828
Current molecular medicine,26812918,1875-5666
Seminars in pediatric surgery,26831132,1532-9453
Optometry and vision science : official publication of the American Academy of Optometry,26905537,1538-9235
International psychogeriatrics,26926248,1741-203X
Journal of research in medical sciences : the official journal of Isfahan University of Medical Sciences,26941812,1735-1995
Interdisciplinary perspectives on infectious diseases,26949392,1687-708X
"Adolescent health, medicine and therapeutics",26955297,1179-318X
Middle East African journal of ophthalmology,26957846,0975-1599
Indian journal of psychological medicine,27011396,0253-7176
Hematology/oncology clinics of North America,27040955,1558-1977
Current opinion in psychology,27042689,2352-250X
BMC medical ethics,27076188,1472-6939
MMWR. Morbidity and mortality weekly report,27101435,1545-861X
Epigenetics,27128683,1559-2308
International journal of methods in psychiatric research,27133364,1557-0657
Journal of religion and health,27156001,1573-6571
Seminars in liver disease,27172353,1098-8971
Journal of medical imaging and radiation oncology,27174870,1754-9485
Frontiers of medicine,27178304,2095-0225
Neuron,27181059,1097-4199
"Philosophical transactions of the Royal Society of London. Series B, Biological sciences",27216506,1471-2970
Journal of trace elements in medicine and biology : organ of the Society for Minerals and Trace Elements (GMS),27238729,1878-3252
Academic psychiatry : the journal of the American Association of Directors of Psychiatric Residency Training and the Association for Academic Psychiatry,27259490,1545-7230
Archives of biochemistry and biophysics,27317042,1096-0384
Heart Asia,27326234,1759-1104
Emergency medicine journal : EMJ,27334758,1472-0213
Health and technology,27358760,2190-7188
European cells & materials,27377666,1473-2262
Epilepsy research,27389705,1872-6844
The journal of Tehran Heart Center,27403186,1735-5370
Vaccines,27490575,2076-393X
Therapeutic advances in drug safety,27493718,2042-0986
Journal of evidence-based medicine,25594942,1756-5391
Indian journal of occupational and environmental medicine,25598617,0973-2284
Breast cancer (Dove Medical Press),25678813,1179-1314
Acta neurologica Scandinavica,25689886,1600-0404
Journal of urban health : bulletin of the New York Academy of Medicine,25758599,1468-2869
East Asian archives of psychiatry : official journal of the Hong Kong College of Psychiatrists = Dong Ya jing shen ke xue zhi : Xianggang jing shen ke yi xue yuan qi kan,25829103,2224-7041
Journal of helminthology,25850789,1475-2697
Materia socio-medica,25870527,1512-7680
Revista espanola de cardiologia (English ed.),25887346,1885-5857
European heart journal. Cardiovascular Imaging,25995329,2047-2412
"Tuberculosis (Edinburgh, Scotland)",26032100,1873-281X
Gut pathogens,26042182,1757-4749
International journal of evidence-based healthcare,26057653,1744-1609
Nature reviews. Rheumatology,26077917,1759-4804
Neuropharmacology,26079444,1873-7064
Journal of the American Society of Echocardiography : official publication of the American Society of Echocardiography,26140936,1097-6795
Pediatric pulmonology,26207724,1099-0496
Infectious diseases of poverty,26229599,2095-5162
Journal of physiological anthropology,26265377,1880-6805
"Giornale italiano di dermatologia e venereologia : organo ufficiale, Societa italiana di dermatologia e sifilografia",26325226,1827-1820
Expert review of vaccines,26366616,1744-8395
Human molecular genetics,26395457,1460-2083
Infectious diseases,26396528,1178-6337
JBI database of systematic reviews and implementation reports,26447008,2202-4433
Biomolecules,26501334,2218-273X
SICOT-J,27163066,2426-8887
Journal of virus eradication,27482390,2055-6640
eNeurologicalSci,28239667,2405-6502
Therapeutic innovation & regulatory science,30222455,2168-4804
Clinical research in cardiology : official journal of the German Cardiac Society,24468894,1861-0692
Blood,24482500,1528-0020
Acta neurologica Scandinavica. Supplementum,24588499,1600-5449
Annals of Saudi medicine,24658553,0975-4466
Evidence-based mental health,24667733,1468-960X
Emergency medicine international,24719768,2090-2840
Foodborne pathogens and disease,24750096,1556-7125
Preventing chronic disease,24809361,1545-1151
"Experimental biology and medicine (Maywood, N.J.)",24903163,1535-3699
The Onderstepoort journal of veterinary research,25005349,2219-0635
Community dentistry and oral epidemiology,25040074,1600-0528
Annals of anatomy = Anatomischer Anzeiger : official organ of the Anatomische Gesellschaft,25053348,1618-0402
Canadian journal of surgery. Journal canadien de chirurgie,25078923,1488-2310
American journal of kidney diseases : the official journal of the National Kidney Foundation,25085644,1523-6838
Revista espanola de salud publica,25090405,2173-9110
MEDICC review,25208113,1527-3172
Thrombosis and haemostasis,25300294,2567-689X
Seminars in thrombosis and hemostasis,25302681,1098-9064
Progress in cardiovascular diseases,25304047,1873-1740
Evidence-based dentistry,25343387,1476-5446
Ethnicity & disease,25417435,1049-510X
Expert opinion on drug metabolism & toxicology,25435318,1744-7607
Revista de psiquiatria y salud mental,25435363,1989-4600
Maturitas,25449663,1873-4111
Infectious agents and cancer,25473414,1750-9378
Best practice & research. Clinical rheumatology,25481427,1532-1770
Health reports,25517936,1209-1367
Stem cells international,22577395,1687-9678
Indian journal of community medicine : official publication of Indian Association of Preventive & Social Medicine,22654281,1998-3581
BMC dermatology,22691871,1471-5945
Expert opinion on emerging drugs,22809423,1744-7623
Current medicinal chemistry,22856655,1875-533X
Current infectious disease reports,22864953,1534-3146
Tropical animal health and production,22886445,1573-7438
The Indian journal of medical research,22960884,0975-9174
The Malaysian journal of medical sciences : MJMS,22977368,2180-4303
Journal of nuclear cardiology : official publication of the American Society of Nuclear Cardiology,23073913,1532-6551
Behavioural and cognitive psychotherapy,23116597,1469-1833
Journal of community health nursing,23136863,1532-7655
Australian family physician,23145400,0300-8495
Journal of occupational and environmental medicine,23263453,1536-5948
Journal of tropical pediatrics,23418133,1465-3664
Global journal of health science,23445701,1916-9736
The American journal of nursing,23445963,1538-7488
Irish medical journal,23472365,0332-3102
The Journal of clinical psychiatry,23473359,1555-2101
Water research,23726704,1879-2448
Journal of clinical neurophysiology : official publication of the American Electroencephalographic Society,23733090,1537-1603
Antiviral therapy,23756458,2040-2058
International journal of food microbiology,23827806,1879-3460
Clinical reviews in allergy & immunology,23832389,1559-0267
Radiologic technology,23861518,1943-5657
