Journal,Publisher,ISSN,eISSN,IF,zky
Archives of Endocrinology Metabolism,SBEM-SOC BRASIL ENDOCRINOLOGIA & METABOLOGIA,2359-3997,2359-4292,1.6,4
GROWTH HORMONE & IGF RESEARCH,CHURCHILL LIVINGSTONE,1096-6374,1532-2238,1.6,4
Journal of Clinical Research in Pediatric Endocrinology,GALENOS PUBL HOUSE,1308-5727,1308-5735,1.5,4
ENDOCRINE RESEARCH,TAYLOR & FRANCIS INC,0743-5800,1532-4206,1.5,4
MAGNESIUM RESEARCH,JOHN LIBBEY EUROTEXT LTD,0953-1424,1952-4021,1.5,4
Diabetology International,SPRINGER JAPAN KK,2190-1678,2190-1686,1.3,4
JOURNAL OF PEDIATRIC ENDOCRINOLOGY & METABOLISM,WALTER DE GRUYTER GMBH,0334-018X,2191-0251,1.3,4
Clinical Pediatric Endocrinology,JAPANESE SOC PEDIATRIC ENDOCRINOLOGY,0918-5739,1347-7358,1,4
Diabetes Epidemiology and Management,ELSEVIER,N/A,2666-9706,1,4
Case Reports in Endocrinology,HINDAWI LTD,2090-6501,2090-651X,0.9,4
Clinical Reviews in Bone and Mineral Metabolism,SPRINGER,1534-8644,1559-0119,0.8,4
JOURNAL OF BIOLOGICAL REGULATORS AND HOMEOSTATIC AGENTS,BIOLIFE SAS,0393-974X,1724-6083,0.8,NA
Revista de Osteoporosis y Metabolismo Mineral,SOC ESPANOLA INVESTIGACION OSEA & METABOLISMO MINERAL,1889-836X,2173-2345,0.8,4
International Journal of Diabetes in Developing Countries,SPRINGER INDIA,0973-3930,1998-3832,0.7,4
Acta Endocrinologica-Bucharest,EDITURA ACAD ROMANE,1841-0987,1843-066X,0.7,4
Endocrinology Diabetes and Metabolism Case Reports,BIOSCIENTIFICA LTD,N/A,2052-0573,0.7,4
Diabetologie und Stoffwechsel,GEORG THIEME VERLAG KG,1861-9002,1861-9010,0.7,4
Clinical Diabetology,VIA MEDICA,2450-8187,2450-8187,0.7,4
Diabetes Mellitus,ENDOCRINOLOGY RESEARCH CENTRE,2072-0351,2072-0378,0.7,4
Journal of the ASEAN Federation of Endocrine Societies,ASEAN FEDERATION ENDOCRINE SOC,0857-1074,2308-118X,0.6,4
NEUROENDOCRINOLOGY LETTERS,MAGHIRA & MAAS PUBLICATIONS,0172-780X,2354-4716,0.6,4
Journal of Endocrinology Metabolism and Diabetes of South Africa,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD",1608-9677,2220-1009,0.6,4
Journal of Endocrinology and Metabolism,ELMER PRESS INC,1923-2861,1923-287X,0.6,4
Practical Diabetes,JOHN WILEY & SONS LTD,2047-2897,2047-2900,0.5,4
Nutrition Clinique et Metabolisme,MASSON EDITEUR,0985-0562,1768-3092,0.5,4
British Journal of Diabetes,ASSOC BRITISH CLINICAL DIABETOLOGISTS,2397-6233,2397-6233,0.4,4
Journal of Diabetology,WOLTERS KLUWER MEDKNOW PUBLICATIONS,2543-3288,2078-7685,0.4,4
Diabetes Stoffwechsel und Herz,VERLAG KIRCHHEIM,1861-7603,1861-7603,0.3,4
Diabetologie,SPRINGER HEIDELBERG,2731-7447,2731-7455,0.3,4
Turkish Journal of Endocrinology and Metabolism,AVES,1301-2193,1301-2193,0.2,NA
Revista Portuguesa de Endocrinologia Diabetes e Metabolismo,"SOC PORTUGUESA ENDOCRINOLOGIA, DIABETES & METABOLISMO-SPEDM",1646-3439,1646-3439,0.2,4
Journal fur Mineralstoffwechsel & Muskuloskelettale Erkrankungen,SPRINGER WIEN,2412-8260,2412-8287,0.2,NA
TRACE ELEMENTS AND ELECTROLYTES,DUSTRI-VERLAG DR KARL FEISTLE,0946-2104,0946-2104,0.1,4
Gynakologische Endokrinologie,SPRINGER HEIDELBERG,1610-2894,1610-2908,0.1,4
Austrian Journal of Clinical Endocrinology and Metabolism,SPRINGER WIEN,1998-7773,1998-7781,<0.1,4
Correspondances en Metabolismes Hormones Diabetes et Nutrition,EDIMARK SANTE,2100-9619,N/A,<0.1,4
Endocrinology Research and Practice,AVES,N/A,2822-6135,N/A,4
LANCET,ELSEVIER SCIENCE INC,0140-6736,1474-547X,98.4,1
NEW ENGLAND JOURNAL OF MEDICINE,MASSACHUSETTS MEDICAL SOC,0028-4793,1533-4406,96.3,1
BMJ-British Medical Journal,BMJ PUBLISHING GROUP,0959-535X,1756-1833,93.7,1
Nature Reviews Disease Primers,NATURE PORTFOLIO,2056-676X,2056-676X,79,1
JAMA-JOURNAL OF THE AMERICAN MEDICAL ASSOCIATION,AMER MEDICAL ASSOC,0098-7484,1538-3598,63.5,1
Lancet Digital Health,ELSEVIER,N/A,2589-7500,23.8,1
JAMA Internal Medicine,AMER MEDICAL ASSOC,2168-6106,2168-6114,22.3,1
ANNALS OF INTERNAL MEDICINE,AMER COLL PHYSICIANS,0003-4819,1539-3704,19.6,1
Military Medical Research,BMC,2095-7467,2054-9369,16.7,1
JOURNAL OF THE ROYAL SOCIETY OF MEDICINE,SAGE PUBLICATIONS LTD,0141-0768,1758-1095,16.3,2
CANADIAN MEDICAL ASSOCIATION JOURNAL,CMA-CANADIAN MEDICAL ASSOC,0820-3946,1488-2329,12.9,1
JAMA Network Open,AMER MEDICAL ASSOC,2574-3805,2574-3805,10.5,1
PLOS MEDICINE,PUBLIC LIBRARY SCIENCE,1549-1277,1549-1676,10.5,1
BMJ Evidence-Based Medicine,BMJ PUBLISHING GROUP,2515-446X,2515-4478,9.8,2
EClinicalMedicine,ELSEVIER,N/A,2589-5370,9.6,1
Journal of Cachexia Sarcopenia and Muscle,WILEY,2190-5991,2190-6009,9.4,1
JOURNAL OF TRAVEL MEDICINE,OXFORD UNIV PRESS INC,1195-1982,1708-8305,9.1,2
JOURNAL OF INTERNAL MEDICINE,WILEY,0954-6820,1365-2796,9,1
Cochrane Database of Systematic Reviews,WILEY,1469-493X,1361-6137,8.8,2
CHINESE MEDICAL JOURNAL,LIPPINCOTT WILLIAMS & WILKINS,0366-6999,2542-5641,7.5,2
BRITISH MEDICAL BULLETIN,OXFORD UNIV PRESS,0007-1420,1471-8391,7.4,2
QJM-AN INTERNATIONAL JOURNAL OF MEDICINE,OXFORD UNIV PRESS,1460-2725,1460-2393,7.3,3
MAYO CLINIC PROCEEDINGS,ELSEVIER SCIENCE INC,0025-6196,1942-5546,7.2,2
BMC Medicine,BMC,1741-7015,1741-7015,7.1,1
MEDICAL JOURNAL OF AUSTRALIA,WILEY,0025-729X,1326-5377,6.7,3
Deutsches Arzteblatt International,DEUTSCHER AERZTE-VERLAG GMBH,1866-0452,1866-0452,6.5,2
Translational Research,ELSEVIER SCIENCE INC,1931-5244,1878-1810,6.4,2
Systematic Reviews,BMC,N/A,2046-4053,6.3,3
BMJ Medicine,BMJ PUBLISHING GROUP,N/A,2754-0413,6,1
European Journal of Internal Medicine,ELSEVIER,0953-6205,1879-0828,5.9,2
BRITISH JOURNAL OF GENERAL PRACTICE,ROYAL COLL GENERAL PRACTITIONERS,0960-1643,1478-5242,5.3,2
AMYLOID-JOURNAL OF PROTEIN FOLDING DISORDERS,TAYLOR & FRANCIS LTD,1350-6129,1744-2818,5.2,2
American Journal of Medicine,ELSEVIER SCIENCE INC,0002-9343,1555-7162,5.1,3
ANNALS OF MEDICINE,TAYLOR & FRANCIS LTD,0785-3890,1365-2060,4.9,2
AMERICAN JOURNAL OF CHINESE MEDICINE,WORLD SCIENTIFIC PUBL CO PTE LTD,0192-415X,1793-6853,4.8,2
Journal of Translational Internal Medicine,SCIENDO,2450-131X,2224-4018,4.7,2
ANNALS OF FAMILY MEDICINE,ANNALS FAMILY MEDICINE,1544-1709,1544-1717,4.4,2
EUROPEAN JOURNAL OF CLINICAL INVESTIGATION,WILEY,0014-2972,1365-2362,4.4,3
JOURNAL OF URBAN HEALTH-BULLETIN OF THE NEW YORK ACADEMY OF MEDICINE,SPRINGER,1099-3460,1468-2869,4.3,2
AMERICAN JOURNAL OF PREVENTIVE MEDICINE,ELSEVIER SCIENCE INC,0749-3797,1873-2607,4.3,2
JOURNAL OF GENERAL INTERNAL MEDICINE,SPRINGER,0884-8734,1525-1497,4.3,2
Preventive Medicine,ACADEMIC PRESS INC ELSEVIER SCIENCE,0091-7435,1096-0260,4.3,2
AMERICAN FAMILY PHYSICIAN,AMER ACAD FAMILY PHYSICIANS,0002-838X,1532-0650,3.8,3
MEDICAL CLINICS OF NORTH AMERICA,W B SAUNDERS CO-ELSEVIER INC,0025-7125,1557-9859,3.8,3
DM DISEASE-A-MONTH,MOSBY-ELSEVIER,0011-5029,1557-8194,3.8,3
Polish Archives of Internal Medicine-Polskie Archiwum Medycyny Wewnetrznej,MEDYCYNA PRAKTYCZNA SP K SP ZOO,0032-3772,1897-9483,3.8,3
PALLIATIVE MEDICINE,SAGE PUBLICATIONS LTD,0269-2163,1477-030X,3.6,2
Journal of Evidence Based Medicine,WILEY,1756-5383,1756-5391,3.6,2
CLINICAL MEDICINE,ROY COLL PHYS LONDON EDITORIAL OFFICE,1470-2118,1473-4893,3.6,4
POSTGRADUATE MEDICAL JOURNAL,OXFORD UNIV PRESS,0032-5473,1469-0756,3.6,4
CLEVELAND CLINIC JOURNAL OF MEDICINE,CLEVELAND CLINIC,0891-1150,1939-2869,3.4,3
BMC Family Practice,BMC,N/A,1471-2296,3.2,NA
JOURNAL OF PAIN AND SYMPTOM MANAGEMENT,ELSEVIER SCIENCE INC,0885-3924,1873-6513,3.2,2
Internal and Emergency Medicine,SPRINGER-VERLAG ITALIA SRL,1828-0447,1970-9366,3.2,3
International Journal of Medical Sciences,IVYSPRING INT PUBL,1449-1907,1449-1907,3.2,3
Presse Medicale,MASSON EDITEUR,0755-4982,2213-0276,3.2,3
Frontiers in Medicine,FRONTIERS MEDIA SA,N/A,2296-858X,3.1,3
HONG KONG MEDICAL JOURNAL,HONG KONG ACAD MEDICINE PRESS,1024-2708,1024-2708,3.1,4
JOURNAL OF WOMENS HEALTH,"MARY ANN LIEBERT, INC",1540-9996,1931-843X,3,3
Journal of Personalized Medicine,MDPI,N/A,2075-4426,3,NA
JOURNAL OF KOREAN MEDICAL SCIENCE,KOREAN ACAD MEDICAL SCIENCES,1011-8934,1598-6357,3,4
Journal of Clinical Medicine,MDPI,N/A,2077-0383,3,3
Diagnostics,MDPI,N/A,2075-4418,3,3
Archives of Medical Science,TERMEDIA PUBLISHING HOUSE LTD,1734-1922,1896-9151,3,4
PAIN MEDICINE,OXFORD UNIV PRESS,1526-2375,1526-4637,2.9,3
JOURNAL OF MEDICAL ECONOMICS,TAYLOR & FRANCIS LTD,1369-6998,1941-837X,2.9,3
MEDICAL PRINCIPLES AND PRACTICE,KARGER,1011-7571,1423-0151,2.9,4
Dental and Medical Problems,WROCLAW MEDICAL UNIV,1644-387X,2300-9020,2.7,3
JBI Evidence Implementation,LIPPINCOTT WILLIAMS & WILKINS,2691-3321,2691-3321,2.7,4
INDIAN JOURNAL OF MEDICAL RESEARCH,WOLTERS KLUWER MEDKNOW PUBLICATIONS,0971-5916,0971-5916,2.7,4
JOURNAL OF THE FORMOSAN MEDICAL ASSOCIATION,ELSEVIER TAIWAN,0929-6646,1876-0821,2.6,3
Sexual Medicine,OXFORD UNIV PRESS,N/A,2050-1161,2.6,3
POSTGRADUATE MEDICINE,TAYLOR & FRANCIS LTD,0032-5481,1941-9260,2.6,4
YONSEI MEDICAL JOURNAL,YONSEI UNIV COLL MEDICINE,0513-5796,1976-2437,2.6,3
MEDICINA CLINICA,ELSEVIER ESPANA SLU,0025-7753,1578-8989,2.6,4
PRIMARY CARE,W B SAUNDERS CO-ELSEVIER INC,0095-4543,1558-299X,2.5,4
JOURNAL OF THE NATIONAL MEDICAL ASSOCIATION,NATL MED ASSOC,0027-9684,1943-4693,2.5,4
AMERICAN JOURNAL OF MANAGED CARE,MANAGED CARE & HEALTHCARE COMMUNICATIONS LLC,1088-0224,N/A,2.5,4
ANNALS ACADEMY OF MEDICINE SINGAPORE,ACAD MEDICINE SINGAPORE,N/A,2972-4066,2.5,4
JOURNAL OF INVESTIGATIVE MEDICINE,SAGE PUBLICATIONS LTD,1081-5589,1708-8267,2.5,4
Journal of the American Board of Family Medicine,AMER BOARD FAMILY MEDICINE,1557-2625,1558-7118,2.4,4
FAMILY PRACTICE,OXFORD UNIV PRESS,0263-2136,1460-2229,2.4,4
CANADIAN FAMILY PHYSICIAN,COLL FAMILY PHYSICIANS CANADA,0008-350X,1715-5258,2.4,4
BMJ Open,BMJ PUBLISHING GROUP,2044-6055,2044-6055,2.4,4
Journal of Hospital Medicine,JOHN WILEY & SONS INC,1553-5592,1553-5606,2.4,4
Medicina-Lithuania,MDPI,1010-660X,1648-9144,2.4,4
CURRENT MEDICAL RESEARCH AND OPINION,TAYLOR & FRANCIS LTD,0300-7995,1473-4877,2.4,4
European Journal of General Practice,TAYLOR & FRANCIS LTD,1381-4788,1751-1402,2.3,3
Pragmatic and Observational Research,DOVE MEDICAL PRESS LTD,1179-7266,1179-7266,2.3,4
SAGE Open Medicine,SAGE PUBLICATIONS INC,2050-3121,2050-3121,2.3,4
REVISTA CLINICA ESPANOLA,EDICIONES DOYMA S A,0014-2565,1578-1860,2.3,4
AMERICAN JOURNAL OF THE MEDICAL SCIENCES,ELSEVIER SCIENCE INC,0002-9629,1538-2990,2.3,4
Diagnosis,WALTER DE GRUYTER GMBH,2194-8011,2194-802X,2.2,4
INTERNATIONAL JOURNAL OF CLINICAL PRACTICE,WILEY-HINDAWI,1368-5031,1742-1241,2.2,4
KOREAN JOURNAL OF INTERNAL MEDICINE,KOREAN ASSOC INTERNAL MEDICINE,1226-3303,2005-6648,2.2,4
Clinics,ELSEVIER ESPANA,1807-5932,1980-5322,2.2,4
Health Science Reports,WILEY,N/A,2398-8835,2.1,4
JOURNAL OF EVALUATION IN CLINICAL PRACTICE,WILEY,1356-1294,1365-2753,2.1,4
International Journal of General Medicine,DOVE MEDICAL PRESS LTD,N/A,1178-7074,2.1,4
SWISS MEDICAL WEEKLY,SMW supporting association,1424-7860,1424-3997,2.1,4
BioMedicine-Taiwan,DIGITAL COMMONS BEPRESS,2211-8020,2211-8039,2.1,4
BMC Primary Care,BMC,N/A,2731-4553,2,3
Patient Preference and Adherence,DOVE MEDICAL PRESS LTD,1177-889X,N/A,2,3
International Journal of Health Sciences-IJHS,"QASSIM UNIV, COLL MEDICINE",1658-3639,1658-7774,2,4
SCANDINAVIAN JOURNAL OF PRIMARY HEALTH CARE,TAYLOR & FRANCIS LTD,0281-3432,1502-7724,1.9,3
Journal of the Chinese Medical Association,LIPPINCOTT WILLIAMS & WILKINS,1726-4901,1728-7731,1.9,4
WIENER KLINISCHE WOCHENSCHRIFT,SPRINGER WIEN,0043-5325,1613-7671,1.9,4
Balkan Medical Journal,GALENOS PUBL HOUSE,2146-3123,2146-3131,1.9,4
Precision and Future Medicine,SUNGKYUNKWAN UNIV SCH MEDICINE,2508-7940,2508-7959,1.9,4
FAMILY MEDICINE,SOC TEACHERS FAMILY MEDICINE,0742-3225,1938-3800,1.8,4
Atencion Primaria,EDICIONES DOYMA S A,0212-6567,1578-1275,1.8,4
Libyan Journal of Medicine,TAYLOR & FRANCIS LTD,1993-2820,1819-6357,1.8,4
Chronic Illness,SAGE PUBLICATIONS LTD,1742-3953,1745-9206,1.8,4
INTERNAL MEDICINE JOURNAL,WILEY,1444-0903,1445-5994,1.8,4
ISRAEL MEDICAL ASSOCIATION JOURNAL,ISRAEL MEDICAL ASSOC JOURNAL,1565-1088,1565-1088,1.8,4
Journal of General and Family Medicine,WILEY,2189-7948,2189-7948,1.8,4
BMJ Military Health,BMJ PUBLISHING GROUP,2633-3767,2633-3775,1.7,4
SINGAPORE MEDICAL JOURNAL,WOLTERS KLUWER MEDKNOW PUBLICATIONS,0037-5675,2737-5935,1.7,4
Annals of Medicine and Surgery,LIPPINCOTT WILLIAMS & WILKINS,2049-0801,2049-0801,1.7,4
Clinics and Practice,MDPI,2039-7275,2039-7283,1.7,4
Open Medicine,DE GRUYTER POLAND SP Z O O,2391-5463,2391-5463,1.7,4
IRISH JOURNAL OF MEDICAL SCIENCE,SPRINGER LONDON LTD,0021-1265,1863-4362,1.7,4
SAUDI MEDICAL JOURNAL,SAUDI MED J,0379-5284,1658-3175,1.7,4
TOHOKU JOURNAL OF EXPERIMENTAL MEDICINE,TOHOKU UNIV MEDICAL PRESS,0040-8727,1349-3329,1.7,4
International Journal of Preventive Medicine,WOLTERS KLUWER MEDKNOW PUBLICATIONS,2008-7802,2008-8213,1.7,4
Australian Journal of General Practice,ROYAL AUSTRALIAN COLLEGE GENERAL PRACTITIONERS,2208-794X,2208-7958,1.6,4
Journal of Clinical Medicine Research-Canada,ELMER PRESS INC,1918-3003,1918-3011,1.6,4
Journal of Mind and Medical Sciences,VALPOSCHOLAR-VALPRAISO UNIV,2392-7674,2392-7674,1.6,4
Iranian Journal of Medical Sciences,SHIRAZ UNIV MEDICAL SCIENCES,0253-0716,1735-3688,1.6,4
Romanian Journal of Internal Medicine,SCIENDO,1582-3296,2501-062X,1.6,4
Journal of Taibah University Medical Sciences,ELSEVIER,1658-3612,1658-3612,1.5,4
UPSALA JOURNAL OF MEDICAL SCIENCES,UPSALA MED SOC,0300-9734,2000-1967,1.5,4
ANNALS OF SAUDI MEDICINE,K FAISAL SPEC HOSP RES CENTRE,0256-4947,1319-9226,1.5,4
CROATIAN MEDICAL JOURNAL,MEDICINSKA NAKLADA,0353-9504,1332-8166,1.5,4
JMA Journal,JAPAN MEDICAL ASSOC-JAPANESE ASSOC MEDICAL SCIENCES,2433-328X,2433-3298,1.5,4
Acute Medicine & Surgery,WILEY,2052-8817,2052-8817,1.5,4
SAMJ SOUTH AFRICAN MEDICAL JOURNAL,SA MEDICAL ASSOC,0256-9574,2078-5135,1.5,4
Revista de Investigacion Clinica-Clinical and Translational Investigation,INST NACIONAL NUTRICION,0034-8376,2564-8896,1.5,4
Bratislava Medical Journal-Bratislavske Lekarske Listy,AEPRESS SRO,0006-9248,1336-0345,1.5,4
Journal of Research in Medical Sciences,WOLTERS KLUWER MEDKNOW PUBLICATIONS,1735-1995,1735-7136,1.5,4
SCOTTISH MEDICAL JOURNAL,SAGE PUBLICATIONS LTD,0036-9330,2045-6441,1.4,4
Journal of Osteopathic Medicine,WALTER DE GRUYTER GMBH,N/A,2702-3648,1.4,4
MEDICINE,LIPPINCOTT WILLIAMS & WILKINS,0025-7974,1536-5964,1.4,4
Rambam Maimonides Medical Journal,RAMBAM HEALTH CARE CAMPUS,2076-9172,2076-9172,1.4,4
Tzu Chi Medical Journal,WOLTERS KLUWER MEDKNOW PUBLICATIONS,1016-3190,2223-8956,1.4,4
BMJ Open Quality,BMJ PUBLISHING GROUP,N/A,2399-6641,1.3,4
Saudi Journal of Medicine & Medical Sciences,WOLTERS KLUWER MEDKNOW PUBLICATIONS,1658-631X,2321-4856,1.3,4
Sao Paulo Medical Journal,ASSOCIACAO PAULISTA MEDICINA,1516-3180,N/A,1.3,4
Medizinische Klinik-Intensivmedizin und Notfallmedizin,SPRINGER HEIDELBERG,2193-6218,2193-6226,1.3,4
Ochsner Journal,OCHSNER CLINIC,1524-5012,2831-4107,1.3,4
JOURNAL OF FAMILY PRACTICE,DOWDEN HEALTH MEDIA,0094-3509,N/A,1.3,NA
Sexes,MDPI,N/A,2411-5118,1.2,4
Pakistan Journal of Medical Sciences,PROFESSIONAL MEDICAL PUBLICATIONS,1682-024X,1681-715X,1.2,4
Turkish Journal Of Medical Sciences,Tubitak Scientific & Technological Research Council Turkey,1300-0144,1303-6165,1.2,4
MILITARY MEDICINE,OXFORD UNIV PRESS,0026-4075,1930-613X,1.2,4
JOURNAL OF NIPPON MEDICAL SCHOOL,MEDICAL ASSOC NIPPON MEDICAL SCH,1345-4676,1347-3409,1.2,4
NEW ZEALAND MEDICAL JOURNAL,NEW ZEALAND MEDICAL ASSOC,0028-8446,1175-8716,1.2,4
Revista da Associacao Medica Brasileira,ASSOC MEDICA BRASILEIRA,0104-4230,1806-9282,1.2,4
Clinical Medicine & Research,MARSHFIELD CLINIC,1539-4182,1554-6179,1.2,4
South African Family Practice,AOSIS,2078-6190,2078-6204,1.2,4
Medwave,MEDWAVE ESTUDIOS LTD,0717-6384,0717-6384,1.2,4
TIDSSKRIFT FOR DEN NORSKE LAEGEFORENING,NORWEGIAN MEDICAL ASSOC,0029-2001,0807-7096,1.2,4
International Journal of Osteopathic Medicine,ELSEVIER SCI LTD,1746-0689,1878-0164,1.1,4
WIENER MEDIZINISCHE WOCHENSCHRIFT,SPRINGER WIEN,0043-5341,1563-258X,1.1,4
Medeniyet Medical Journal,GALENOS PUBL HOUSE,2149-2042,2149-4606,1.1,4
ACTA CLINICA BELGICA,TAYLOR & FRANCIS LTD,1784-3286,2295-3337,1.1,4
Einstein-Sao Paulo,INST ISRAELITA ENSINO & PESQUISA ALBERT EINSTEIN,1679-4508,2317-6385,1.1,4
Intractable & Rare Diseases Research,INT RESEARCH & COOPERATION ASSOC BIO & SOCIO-SCIENCES ADVANCEMENT,2186-3644,2186-361X,1.1,4
Journal of the Royal College of Physicians of Edinburgh,SAGE PUBLICATIONS LTD,1478-2715,2042-8189,1.1,4
Danish Medical Journal,DANISH MEDICAL ASSOC,N/A,2245-1919,1,4
Electronic Journal of General Medicine,MODESTUM LTD,2516-3507,2516-3507,1,4
Archives of Iranian Medicine,ACAD MEDICAL SCIENCES I R IRAN,1029-2977,1735-3947,1,4
Journal of Yeungnam Medical Science,"YEUNGNAM UNIV COLL MEDICINE, YEUNGNAM UNIV INST MEDICAL SCIENCE",N/A,2799-8010,1,4
Internal Medicine,JAPAN SOC INTERNAL MEDICINE,0918-2918,1349-7235,1,4
Cureus Journal of Medical Science,SPRINGERNATURE,N/A,2168-8184,1,4
Journal of Postgraduate Medicine,WOLTERS KLUWER MEDKNOW PUBLICATIONS,0022-3859,0972-2823,1,4
Medical Bulletin of Sisli Etfal Hospital,KARE PUBL,1302-7123,1308-5123,1,4
American Journal of Case Reports,"INT SCIENTIFIC INFORMATION, INC",N/A,1941-5923,1,4
World Journal of Clinical Cases,BAISHIDENG PUBLISHING GROUP INC,2307-8960,2307-8960,1,NA
SOUTHERN MEDICAL JOURNAL,LIPPINCOTT WILLIAMS & WILKINS,0038-4348,1541-8243,1,4
BRITISH JOURNAL OF HOSPITAL MEDICINE,MA HEALTHCARE LTD,1750-8460,1759-7390,1,4
Egyptian Journal of Internal Medicine,SPRINGERNATURE,1110-7782,2090-9098,1,4
MEDICAL PROBLEMS OF PERFORMING ARTISTS,SCIENCE & MEDICINE INC,0885-1158,1938-2766,0.9,4
Eurasian Journal of Medicine,ATATURK UNIV,N/A,1308-8742,0.9,4
Journal of Medical Case Reports,BMC,N/A,1752-1947,0.9,4
Journal of Investigative Medicine High Impact Case Reports,SAGE PUBLICATIONS LTD,2324-7096,2324-7096,0.9,4
Northern Clinics of Istanbul,KARE PUBL,2148-4902,2536-4553,0.9,4
Journal of Laboratory Physicians,THIEME MEDICAL PUBL INC,0974-2727,0974-7826,0.9,4
Journal of Community Hospital Internal Medicine Perspectives,DIGITAL COMMONS BEPRESS,2000-9666,2000-9666,0.9,4
Bali Medical Journal,UNIV UDAYANA,2089-1180,2302-2914,0.9,4
University of Toronto Medical Journal,"UNIV TORONTO, MEDICAL SOC",0833-2207,1913-5440,0.9,4
African Health Sciences,"MAKERERE UNIV, COLL HEALTH SCIENCES,SCH MED",1680-6905,1729-0503,0.8,4
Eurasian Journal of Medicine and Oncology,KARE PUBL,N/A,2587-196X,0.8,4
International Journal of Applied and Basic Medical Research,WOLTERS KLUWER MEDKNOW PUBLICATIONS,2229-516X,2248-9606,0.8,4
Acta Medica Portuguesa,ORDEM MEDICOS,0870-399X,1646-0758,0.8,4
Alexandria Journal of Medicine,TAYLOR & FRANCIS LTD,2090-5068,2090-5076,0.8,4
Nigerian Postgraduate Medical Journal,WOLTERS KLUWER MEDKNOW PUBLICATIONS,1117-1936,2468-6875,0.8,4
Caspian Journal of Internal Medicine,BABOL UNIV MEDICAL SCIENCES,2008-6164,2008-6172,0.8,4
JAAPA-Journal of the American Academy of Physician Assistants,LIPPINCOTT WILLIAMS & WILKINS,1547-1896,0893-7400,0.8,4
Agri-The Journal of the Turkish Society of Algology,KARE PUBL,1300-0012,1300-0012,0.8,4
Bangladesh Journal of Medical Science,IBN SINA TRUST,2223-4721,2076-0299,0.8,4
Case Reports in Medicine,HINDAWI LTD,1687-9627,1687-9635,0.8,4
ORVOSI HETILAP,AKADEMIAI KIADO ZRT,0030-6002,1788-6120,0.8,4
Acta Medica Indonesiana,"UNIV INDONESIA, FAC MEDICINE",0125-9326,2338-2732,0.8,4
Archive of Clinical Cases,GRIGORE T POPA UNIV MEDICINE AND PHARMACY IASI,N/A,2360-6975,0.8,4
Clinical Medicine Insights-Case Reports,SAGE PUBLICATIONS LTD,1179-5476,1179-5476,0.8,4
Reports,MDPI,N/A,2571-841X,0.8,4
JOURNAL OF THE PAKISTAN MEDICAL ASSOCIATION,PAKISTAN MEDICAL ASSOC,0030-9982,0030-9982,0.8,4
British Columbia Medical Journal,BRITISH COLUMBIA MEDICAL ASSOCIATION,0007-0556,0007-0556,0.8,4
Nigerian Journal of Clinical Practice,WOLTERS KLUWER MEDKNOW PUBLICATIONS,1119-3077,2229-7731,0.7,4
Canadian Journal of Rural Medicine,WOLTERS KLUWER MEDKNOW PUBLICATIONS,1203-7796,1488-237X,0.7,4
International Medical Case Reports Journal,DOVE MEDICAL PRESS LTD,1179-142X,1179-142X,0.7,4
Fukushima Journal of Medical Science,FUKUSHIMA SOC MEDICAL SCIENCE,0016-2590,2185-4610,0.7,4
JCPSP-Journal of the College of Physicians and Surgeons Pakistan,COLL PHYSICIANS & SURGEONS PAKISTAN,1022-386X,1681-7168,0.7,4
Colombia Medica,CORPORACION EDITORA MEDICA VALLE,1657-9534,N/A,0.7,4
AME Case Reports,AME PUBLISHING COMPANY,2523-1995,2523-1995,0.7,4
Acta Clinica Croatica,SESTRE MILOSRDNICE UNIV HOSPITAL,0353-9466,1333-9451,0.7,4
Bahrain Medical Bulletin,BAHRAIN MEDICAL BULLETIN,1012-8298,1012-8298,0.7,4
REVUE DE MEDECINE INTERNE,ELSEVIER FRANCE-EDITIONS SCIENTIFIQUES MEDICALES ELSEVIER,0248-8663,N/A,0.7,4
Imaging,AKADEMIAI KIADO ZRT,N/A,2732-0960,0.7,4
MEDICINA DELLO SPORT,EDIZIONI MINERVA MEDICA,0025-7826,1827-1863,0.6,4
Innere Medizin,SPRINGER MEDIZIN VERLAG GmBH,2731-7080,2731-7099,0.6,4
BMJ Case Reports,BMJ PUBLISHING GROUP,N/A,1757-790X,0.6,4
Annals of African Medicine,WOLTERS KLUWER MEDKNOW PUBLICATIONS,1596-3519,0975-5764,0.6,4
Clinical Case Reports,WILEY,2050-0904,2050-0904,0.6,4
SAGE Open Medical Case Reports,SAGE PUBLICATIONS INC,2050-313X,2050-313X,0.6,4
MEDICINA-BUENOS AIRES,MEDICINA (BUENOS AIRES),0025-7680,1669-9106,0.6,4
DEUTSCHE MEDIZINISCHE WOCHENSCHRIFT,GEORG THIEME VERLAG KG,0012-0472,1439-4413,0.6,4
Gaceta Medica de Mexico,ACAD NACIONAL MEDICINA MEXICO,0016-3813,0016-3813,0.6,4
Dubai Medical Journal,KARGER,N/A,2571-726X,0.5,4
Gomal Journal of Medical Sciences,GOMAL MEDICAL COLL,1819-7973,1997-2067,0.5,4
Medical Journal of Indonesia,"UNIV INDONESIA, FAC MEDICINE",0853-1773,2252-8083,0.5,4
Oxford Medical Case Reports,OXFORD UNIV PRESS,2053-8855,2053-8855,0.5,4
